imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certifcation
tt0255679,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,257496.0,es,El viaje de Arián,"Arián, a young Basque girl, idealistic but naive, joins a ruthless terrorist gang and, hoping to prove her commitment, volunteers to participate in the kidnapping of the daughter of an important businessman.",0.681,/a3HDbvuCkYKdmFG75SKpH5sWqqp.jpg,"[{'id': 140871, 'logo_path': None, 'name': 'Montjuic Entertainment', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2001-05-04,291345.0,104.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,A journey to the dark side,The Journey of Arián,0.0,5.3,3.0,
tt0255898,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,681644.0,es,Cicatrices,"Three stories located in the decade of the 60 in the city of Santa Fe, Argentina. Juan José Saer paints typical characters of a city counties and depicts a time of political and cultural effervescence.",0.841,,[],[],2001-03-29,0.0,115.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Cicatrices,0.0,0.0,0.0,
tt0256015,0.0,/o99AypmF0TZs1Z3niAGma0eKjkt.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,82348.0,it,Faccia di Picasso,"The usual story of the young director who tells the movie that fails to do. Zany gags, quotes, the eternal exasperation to get at all costs to laugh, to any.",2.138,/7OaYqpm8Dh2vaZJFGA3DzLXRGWg.jpg,"[{'id': 13586, 'logo_path': '/p1USwYCAPW7A7Lt6SZmgxr87Pmu.png', 'name': 'Vertigo Film', 'origin_country': 'IT'}, {'id': 70436, 'logo_path': None, 'name': 'Cecchi Gori Group Fin.Ma.Vi', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2000-10-06,0.0,95.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Faccia di Picasso,0.0,4.4,25.0,
tt0256087,0.0,,,0.0,[],,259326.0,en,辣椒教室,"Mr. Au is a new homeroom teacher of Form 5E, a class that has the lowest class average and is well known for its trouble-making trait in school.  Recognizing such notorious reputation, he uses his extraordinary method to teach and care for the students.  Although he is pinpointed by other teachers, he eventually wins the support of Miss Lam, who is the daughter of the principal, and the students of Form 5E.",2.031,,[],"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2000-01-06,0.0,109.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,I.Q. Dudettes,0.0,3.0,1.0,
tt0256127,0.0,/iRKrmkZXUQQEhWOvhAzdmtYGiRE.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",,73138.0,ja,顔,"With no parents left to keep the peace and order two sisters, who could not be any more different, allow their frustrations and animosity to come to a head. What ensues is funny, tragic and offbeat.",1.163,/5859D5cmh39gKyWVT6JAgNS76Oa.jpg,"[{'id': 192, 'logo_path': '/93eAKlnQecDdMtucfOprzcjMw9V.png', 'name': 'Shochiku', 'origin_country': 'JP'}, {'id': 3363, 'logo_path': '/sj3vD7n63bTCih7bcf6GnWvRf1Q.png', 'name': 'MBS', 'origin_country': 'JP'}, {'id': 7912, 'logo_path': None, 'name': 'Sedic International', 'origin_country': 'JP'}, {'id': 9177, 'logo_path': '/4J38yaZJMtU8fI1bxIdE9PHnGb7.png', 'name': 'Eisei Gekijo', 'origin_country': 'JP'}, {'id': 12506, 'logo_path': None, 'name': 'Kuho', 'origin_country': ''}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2000-08-12,0.0,123.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,Losing face. Finding soul.,Face,0.0,6.233,15.0,
tt0256179,0.0,,,0.0,[],,773099.0,pt,Mário,,0.621,/wObKsihBCibXm6o6iq02ZSJh69Y.jpg,[],[],2000-06-07,0.0,0.0,[],Released,,Mário,0.0,4.0,1.0,
tt0256375,0.0,,,0.0,"[{'id': 28, 'name': 'Action'}]",,61143.0,en,Sensitive New-Age Killer,Paul as a young boy witnessed the notorious hit man “The Snake” kill a few lowlifes and since that moment he has dedicated his life to cleaning up the streets of all evil doers. Helping Paul with contract killings is his best friend George who has been having an affair with Paul’s wife.,1.207,/kyF5xnZPkZ6lxli9j5svBJHQQcM.jpg,[],[],2000-05-30,0.0,87.0,[],Released,,Sensitive New-Age Killer,0.0,6.3,3.0,R
tt0256378,0.0,,"{'id': 432207, 'name': 'The Sex Files', 'poster_path': None, 'backdrop_path': None}",0.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",,281308.0,en,Sex Files: Sexually Bewitched,"Bored, sexually frustrated Sarah accepts a position as an apprentice to a ""sexual sorceress"" and magical sexual hijinks ensue.",1.9849999999999999,/6x36FbCo0qLXdcTUbX8TjGHB9zy.jpg,"[{'id': 59938, 'logo_path': None, 'name': 'Click Productions', 'origin_country': 'US'}, {'id': 74999, 'logo_path': None, 'name': 'Riouw Beleggingen BV', 'origin_country': 'NL'}, {'id': 75000, 'logo_path': None, 'name': 'Oranton Ltd.', 'origin_country': 'IE'}, {'id': 77499, 'logo_path': None, 'name': 'ASP S.A.', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-08-05,0.0,80.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"They'll make your blood boil, temperature rise and sex drive soar!",Sex Files: Sexually Bewitched,0.0,5.3,5.0,
tt0256503,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,591376.0,el,Βίτσια γυναικών,A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.,0.651,/wBO4wqlKu17nR5erEQrxTFouNEf.jpg,"[{'id': 32197, 'logo_path': None, 'name': 'VA Films', 'origin_country': ''}]","[{'iso_3166_1': 'GR', 'name': 'Greece'}]",2000-10-13,0.0,0.0,"[{'english_name': 'Greek', 'iso_639_1': 'el', 'name': 'ελληνικά'}]",Released,,Βίτσια γυναικών,0.0,2.5,2.0,
tt0256534,0.0,,,0.0,[],,606677.0,hi,Zindagi Zindabad,"When a young Indian landscape designer finds out that an emergency transfusion has left her boyfriend infected with HIV, she becomes obsessed with finding the source of the tainted blood. Her search will take her into every strata of Indian society, from the quiet office of the respected doctor who performed the operation, to the teeming slums that are home to the desperate poor who have nothing to sell but their blood. Her story is paralleled by the tale of two young male lovers torn apart by society’s demands and their dread of this new disease, and a young slum dweller who refuses to let fear destroy his compassion.",0.6000000000000001,/mqMr88VE4976rgcUU4ffwhWTsUA.jpg,[],[],1999-06-26,0.0,140.0,[],Released,,Long Live Life,0.0,0.0,0.0,
