imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certifcation
tt0266449,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,229266.0,en,Rhapsody,"The life of a beautiful rising female recording star is placed in jeopardy when she witnesses the drive-by shooting of a rival rap-star in Las Vegas. Wanted by both the killers and the corrupt police, the young woman must go into hiding while three of her kick-ass friends root-out the truth to the situation.",0.665,,"[{'id': 1164, 'logo_path': None, 'name': 'City Heat Productions', 'origin_country': ''}, {'id': 46078, 'logo_path': None, 'name': 'Rhapsody 2001 Inc.', 'origin_country': ''}, {'id': 46079, 'logo_path': None, 'name': 'Pittmobile Entertainment', 'origin_country': ''}, {'id': 46080, 'logo_path': None, 'name': 'Pittmobile Productions Inc.', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-03-15,0.0,95.0,[],Released,To live and die by the rhyme...,Rhapsody,0.0,1.5,2.0,R
tt0266629,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,240697.0,en,Hollywood Sex Fantasy,"The story of a Hollywood star who, tired of his lifestyle, one night encounters his doppelganger leading to a role switch so the star can slip away for some alone time leaving the double to indulge in his fantasies.",4.969,/8OkHDH3pFXorGp5fBfXgCRBIIh4.jpg,"[{'id': 6894, 'logo_path': None, 'name': 'Indigo Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-01-01,0.0,99.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Some women will do anything to score with a Hollywood star.,Hollywood Sex Fantasy,0.0,5.225,20.0,R
tt0266915,0.0,/zzFTSEAZcLGSbGipQVflSNUqpij.jpg,"{'id': 90863, 'name': 'Rush Hour Collection', 'poster_path': '/pEvK2AoBnhC1RgqB7VRbBCMDq23.jpg', 'backdrop_path': '/uoDt3eCCKpcxSQVWjPTgN8T0gjm.jpg'}",90000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,5175.0,en,Rush Hour 2,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",60.596,/aBQf2vMiCINeVC9v6BGVYKXurTh.jpg,"[{'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-08-03,347325802.0,90.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Released,Get ready for a second Rush!,Rush Hour 2,0.0,6.676,3301.0,PG-13
tt0266987,0.0,/zONM403tEJuSi0kZhA3TxkUoS22.jpg,,115000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,1535.0,en,Spy Game,"On the day of his retirement, a veteran CIA agent learns that his former protégé has been arrested in China, is sentenced to die the next morning in Beijing, and that the CIA is considering letting that happen to avoid an international scandal.",21.511,/6y8M1rxjKofQCRKKe6xeV91K2Fc.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 657, 'logo_path': '/mDBPrBO6hl21KhQOzCVYUBo33zt.png', 'name': 'TOHO-TOWA', 'origin_country': 'JP'}, {'id': 780, 'logo_path': None, 'name': 'Red Wagon Productions', 'origin_country': ''}, {'id': 919, 'logo_path': None, 'name': 'Beacon Communications', 'origin_country': ''}, {'id': 7385, 'logo_path': None, 'name': 'Kalima Productions GmbH & Co. KG', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-11-18,143049560.0,126.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,It's not how you play the game. It's how the game plays you.,Spy Game,0.0,6.928,1725.0,R
tt0267287,0.0,/cf8qwkSTSuHrRH9yIKfM6QYoCtB.jpg,,8000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.miramax.com/movie/avalon,10881.0,pl,Avalon,"In a future world, young people are increasingly becoming addicted to an illegal (and potentially deadly) battle simulation game called Avalon. When Ash, a star player, hears of rumors that a more advanced level of the game exists somewhere, she gives up her loner ways and joins a gang of explorers. Even if she finds the gateway to the next level, will she ever be able to come back to reality?",8.223,/xm8byLTLqscSae3vFJDDggNeH1j.jpg,"[{'id': 528, 'logo_path': '/fO3Aof3lXQclYpBByYC8aneTXwA.png', 'name': 'Bandai Visual', 'origin_country': 'JP'}, {'id': 1598, 'logo_path': None, 'name': 'Nippon Herald Films', 'origin_country': 'JP'}, {'id': 1778, 'logo_path': '/69xm6sF3JxugGVjfZfm1YY6d7EE.png', 'name': 'dentsu', 'origin_country': 'JP'}, {'id': 5853, 'logo_path': None, 'name': 'Deiz Production', 'origin_country': ''}, {'id': 7967, 'logo_path': '/4W9ByL6mMDn9UOHh8oGD36l3BnN.png', 'name': 'Media Factory', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'PL', 'name': 'Poland'}]",2001-01-20,8826094.0,107.0,"[{'english_name': 'Polish', 'iso_639_1': 'pl', 'name': 'Polski'}]",Released,Dare to enter a world of future videogames.,Avalon,0.0,6.573,245.0,R
tt0267785,0.0,,,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,138345.0,en,No One Can Hear You,"Families are dying and reporter Trish (Kelly McGillis) finds herself reporting on a serial killing spree. After her daughter Lisa's (Kate Elliott) best friends are killed, she fears that her family may be on the killers list. Sheriff Webster (Barry Corbin) is not listening to her concerns, which leads Trish to wonder is he or his deputy might be involved. Then Lisa, her boyfriend Ben and her sister Amy receive threats.",2.244,/sJqo5AgMQ39t1rC6DCAbunIWv5m.jpg,"[{'id': 64867, 'logo_path': None, 'name': 'Film Knights', 'origin_country': ''}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-01-01,0.0,92.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,True Love Never Dies,No One Can Hear You,0.0,4.6,4.0,R
tt0267804,0.0,/2JApfvtgf2snKUtOFn8d1wm5pDU.jpg,,49000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,10796.0,en,The One,A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.,29.506,/gcr3t71KmeXINemMrhaGBGVJPwW.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 497, 'logo_path': '/pMyhOBd3sCiLzBlmIopdJkcUFtn.png', 'name': 'Revolution Studios', 'origin_country': 'US'}, {'id': 48772, 'logo_path': None, 'name': 'Hard Eight Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-11-02,72689126.0,87.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Stealing the power of the universes one by one.,The One,0.0,6.113,1284.0,PG-13
tt0267989,0.0,/4oCMj3Xb3Nr3R5qBD85SXR2K2y7.jpg,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,72317.0,en,True Blue,"Rembrandt Macy (Tom Berenger) is a maverick cop assigned to a case where the primary evidence is a woman's hand found in a pond. Investigators identify the dead, and Macy is lead into a young woman's past. Macy's primary path to understanding the victim is through one of her roommates, Nikki. Through Nikki and others, Macy learns of the victim's shady contacts at City Hall, the involvement of a gang of Asian drug runners, and the sordid affairs of one of the city's bigwigs. As Macy begins to understand how all these crimes fit together, he learns that his new friend Nikki is not an innocent bystander.",2.98,/wGKNSooidNSRhxx5h9ExGA926OF.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-11-29,0.0,101.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Some crimes are impossible to solve. Some suspects are impossible to resist.,True Blue,0.0,4.885,13.0,R
tt0268200,0.0,/ag90STh8Gvinuwg8Q0NRAcY3JAm.jpg,,1000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",,26791.0,en,Brigham City,"Wes Clayton is a lawman and a bishop in a Mormon community called Brigham. The town is shaken when a woman from California is found murdered. Clayton and his young deputy work with an FBI agent sent to investigate. As a civil and spiritual leader in the frightened town, Clayton must uncover the town's deepest secrets, find the murderer and keep Brigham from ripping itself apart.",1.807,/acXmEYtJe05Y5Wt0qsBIg9iNsTv.jpg,"[{'id': 127995, 'logo_path': None, 'name': 'Zion Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-03-30,852206.0,119.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Nothing attracts a serpent like paradise,Brigham City,0.0,6.438,16.0,PG-13
tt0268397,0.0,/xOyHKUFEhvogSHnDbsa5E7ZYx9D.jpg,,25000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,12589.0,en,Jimmy Neutron: Boy Genius,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",20.965,/pUwdquA6Bf3Gq8yT5iQL1Yq0jkl.jpg,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 2348, 'logo_path': '/m31fQvZJuUvAgxoqTiCGYFBfZYe.png', 'name': 'Nickelodeon Movies', 'origin_country': 'US'}, {'id': 5682, 'logo_path': None, 'name': 'O Entertainment', 'origin_country': ''}, {'id': 89136, 'logo_path': None, 'name': 'DNA Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-12-21,80936232.0,83.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"He may be small, but he's got a big brain!",Jimmy Neutron: Boy Genius,0.0,5.909,738.0,G
